mESCs_lnc:0610040F04Rik_hsa	Nsd1
mESCs_lnc:1110002J07Rik_hsa	Gm8355
mESCs_lnc:1110002J07Rik_hsa	Tomm5
EFs_lnc:1110038B12Rik_hsa	Tbrg4
mESCs_lnc:1110038B12Rik_hsa	Rnmt
mESCs_lnc:1110038B12Rik_hsa	Timm23
mESCs_lnc:1110038B12Rik_hsa	Slmap
mESCs_lnc:1110038B12Rik_hsa	Ctsb
EFs_lnc:1110038B12Rik_hsa	Eif4a2
EFs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Eif4a2
mESCs_lnc:1110038B12Rik_hsa	Scd2
EFs_lnc:1110038B12Rik_hsa	Rplp2
mESCs_lnc:1110038B12Rik_hsa	Rplp2
mESCs_lnc:1110038B12Rik_hsa	Nop56
mESCs_lnc:1110038B12Rik_hsa	Nop56
mESCs_lnc:1110038B12Rik_hsa	Nop56
mESCs_lnc:1110038B12Rik_hsa	Prdx1
mESCs_lnc:1110038B12Rik_hsa	Cct6a
mESCs_lnc:1110038B12Rik_hsa	Cct6a
mESCs_lnc:1110038B12Rik_hsa	Cct6a
mESCs_lnc:1110038B12Rik_hsa	Cct6a
mESCs_lnc:1110038B12Rik_hsa	Atp2a2
mESCs_lnc:1110038B12Rik_hsa	Rpl6
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
mESCs_lnc:1110038B12Rik_hsa	Taf1d
EFs_lnc:1110038B12Rik_hsa	Rpsa
EFs_lnc:1110038B12Rik_hsa	Rpsa
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Lars2
mESCs_lnc:1110038B12Rik_hsa	Rpl12
mESCs_lnc:1110038B12Rik_hsa	Rpl12
mESCs_lnc:1110038B12Rik_hsa	Srrm2
mESCs_lnc:1110038B12Rik_hsa	Igsf3
mESCs_lnc:1110038B12Rik_hsa	Arf6
mESCs_lnc:1110038B12Rik_hsa	Rps2
mESCs_lnc:1110038B12Rik_hsa	Rps2
mESCs_lnc:1110038B12Rik_hsa	Rps2
mESCs_lnc:1110038B12Rik_hsa	Rps2
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Wdr89
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
