kinase	target
STK17A	TP53
TP53RK	TP53
SMG1	TP53
SMG1	UPF1
TAF1	TP53
TAF1	GTF2A1
TAF1	TAF7
NUAK1	TP53
NUAK1	PPP1R12A
NUAK1	CASP6
NUAK1	LATS1
GRK5	TP53
GRK5	OPRM1
GRK5	SNCA
GRK5	ADRB2
GRK5	GRK5
GRK5	ST13
MAPKAPK5	TP53
MAPKAPK5	PLA2G4A
MAPKAPK5	TH
MAPKAPK5	DNAJB1
MAPKAPK5	SEPT8
MAPKAPK5	RHEB
MAPKAPK5	KALRN
VRK1	HIST1H3A
VRK1	TP53
VRK1	VRK1
VRK1	ATF2
VRK1	JUN
VRK1	BANF1
VRK1	COIL
VRK2	TP53
VRK2	BANF1
VRK2	COIL
VRK2	USP25
VRK3	BANF1
BMPR1B	SMAD2
BMPR1B	SMAD1
MELK	TP53
MELK	SMAD3
MELK	CDC25B
MELK	SMAD2
MELK	SMAD4
MELK	SMAD7
MELK	MAP3K5
MELK	MELK
MELK	PDPK1
BRD4	POLR2A
CDK12	POLR2A
CDK13	POLR2A
CDK9	RB1
CDK9	TP53
CDK9	RCHY1
CDK9	HIST1H1A
CDK9	SUPT5H
CDK9	POLR2A
CDK9	CDK9
CDK9	SMAD3
CDK9	BORA
CDK9	PPARG
CDK9	NCOA2
CDK9	SMAD1
DYRK1A	MAPT
DYRK1A	TP53
DYRK1A	SPRY2
DYRK1A	FOXO1
DYRK1A	POLR2A
DYRK1A	SNCA
DYRK1A	RCAN1
DYRK1A	CASP9
DYRK1A	AMPH
DYRK1A	SIRT1
DYRK1A	CCNL2
DYRK1A	DYRK1A
DYRK1A	LIN52
DYRK1A	CRY2
DYRK1A	DNM1
DYRK1A	CCND1
DYRK1A	SF3B1
DYRK1A	PSEN1
CDK11A	CDK11B
CDK7	RARA
CDK7	TP53
CDK7	CDK4
CDK7	POLR2A
CDK7	NR5A1
CDK7	ESR1
CDK7	AR
CDK7	RARG
CDK7	E2F1
CDK7	SMAD1
CDK7	CDK1
CDK7	MCM2
CDK7	CDK11B
CDK7	CDK12
CDK7	CDK6
CDK7	PCGF6
CDK7	ICK
CDK7	CDK2
CHEK2	MAPT
CHEK2	RB1
CHEK2	TP53
CHEK2	ELAVL1
CHEK2	PML
CHEK2	FOXM1
CHEK2	CDC25C
CHEK2	TTK
CHEK2	AATF
CHEK2	TRIM28
CHEK2	E2F1
CHEK2	CHEK2
CHEK2	E2F3
CHEK2	LATS2
CHEK2	CDC25A
CHEK2	MDM4
CHEK2	XRCC1
CHEK2	BRCA1
CHEK2	VHL
CHEK2	BDNF
CHEK2	REV3L
CHEK2	HIST1H1C
CHEK2	CDK11B
ATM	TP53
ATM	ABL1
ATM	NFAT5
ATM	CHD4
ATM	CROCC
ATM	EYA3
ATM	KDM2A
ATM	PBRM1
ATM	RAD18
ATM	TOPBP1
ATM	RAD9A
ATM	MED1
ATM	TERF1
ATM	ATF2
ATM	EWSR1
ATM	SP1
ATM	EP300
ATM	EIF4EBP1
ATM	H2AFX
ATM	AATF
ATM	TRIM28
ATM	APLF
ATM	USP10
ATM	USP15
ATM	USP28
ATM	USP34
ATM	WHSC1
ATM	ZBTB2
ATM	ZNF148
ATM	ZNF420
ATM	UBR5
ATM	TTC5
ATM	TAOK3
ATM	TAOK1
ATM	SMARCA4
ATM	SLX4
ATM	COPS3
ATM	AVEN
ATM	RRM2B
ATM	C1QBP
ATM	RNF40
ATM	RNF20
ATM	RFWD3
ATM	RFWD2
ATM	RAD50
ATM	PNKP
ATM	NABP2
ATM	MLLT1
ATM	MEN1
ATM	LAMTOR5
ATM	GIT2
ATM	FANCI
ATM	FBXO31
ATM	SYN1
ATM	PPP2R5C
ATM	MAD1L1
ATM	BAG6
ATM	DYRK2
ATM	FUS
ATM	NHEJ1
ATM	TDP1
ATM	WRN
ATM	BUB1
ATM	NUSAP1
ATM	IKBKG
ATM	NKX3-1
