"Gene_symbol"	"   Genes"	"Freq"
"MB"	"myoglobin"	"375"
"SHH"	"sonic hedgehog signaling molecule"	"126"
"OTX2"	"orthodenticle homeobox 2"	"34"
"TP53"	"tumor protein p53"	"28"
"MYC"	"MYC proto-oncogene, bHLH transcription factor"	"23"
"SUFU"	"SUFU negative regulator of hedgehog signaling"	"22"
"EFS"	"embryonal Fyn-associated substrate"	"18"
"SMO"	"smoothened, frizzled class receptor"	"18"
"ALK"	"ALK receptor tyrosine kinase"	"17"
"APC"	"APC regulator of WNT signaling pathway"	"16"
"MGMT"	"O-6-methylguanine-DNA methyltransferase"	"15"
"CTNNB1"	"catenin beta 1"	"13"
"CXCR4"	"C-X-C motif chemokine receptor 4"	"12"
"EGFR"	"epidermal growth factor receptor"	"12"
"MYCN"	"MYCN proto-oncogene, bHLH transcription factor"	"12"
"GFAP"	"glial fibrillary acidic protein"	"11"
"PAX8"	"paired box 8"	"11"
"REST"	"RE1 silencing transcription factor"	"11"
"PTCH1"	"patched 1"	"10"
"IDH1"	"isocitrate dehydrogenase (NADP(+)) 1"	"9"
"YAP1"	"Yes1 associated transcriptional regulator"	"9"
"BCOR"	"BCL6 corepressor"	"8"
"FAP"	"fibroblast activation protein alpha"	"8"
"GLI2"	"GLI family zinc finger 2"	"8"
"PID1"	"phosphotyrosine interaction domain containing 1"	"8"
"EZH2"	"enhancer of zeste 2 polycomb repressive complex 2 subunit"	"7"
"GLI1"	"GLI family zinc finger 1"	"7"
"INPP5E"	"inositol polyphosphate-5-phosphatase E"	"7"
"KBTBD4"	"kelch repeat and BTB domain containing 4"	"7"
"MAP4K4"	"mitogen-activated protein kinase kinase kinase kinase 4"	"7"
"NF1"	"neurofibromin 1"	"7"
"TRH"	"thyrotropin releasing hormone"	"7"
"BRAF"	"B-Raf proto-oncogene, serine/threonine kinase"	"6"
"CIC"	"capicua transcriptional repressor"	"6"
"DDX3X"	"DEAD-box helicase 3 X-linked"	"6"
"GRK6"	"G protein-coupled receptor kinase 6"	"6"
"HIC1"	"HIC ZBTB transcriptional repressor 1"	"6"
"PLK4"	"polo like kinase 4"	"6"
"PTEN"	"phosphatase and tensin homolog"	"6"
"SRI"	"sorcin"	"6"
"SSR1"	"signal sequence receptor subunit 1"	"6"
"TF"	"transferrin"	"6"
"ATOH1"	"atonal bHLH transcription factor 1"	"5"
"BRCA2"	"BRCA2 DNA repair associated"	"5"
"ERBB2"	"erb-b2 receptor tyrosine kinase 2"	"5"
"GFI1"	"growth factor independent 1 transcriptional repressor"	"5"
"MET"	"MET proto-oncogene, receptor tyrosine kinase"	"5"
"NEUROD1"	"neuronal differentiation 1"	"5"
"PAX5"	"paired box 5"	"5"
"SIRT1"	"sirtuin 1"	"5"
"TERT"	"telomerase reverse transcriptase"	"5"
"GC"	"GC vitamin D binding protein"	"4"
"HOXA10"	"homeobox A10"	"4"
"HOXB4"	"homeobox B4"	"4"
"KDM6A"	"lysine demethylase 6A"	"4"
"MELK"	"maternal embryonic leucine zipper kinase"	"4"
"NEO1"	"neogenin 1"	"4"
"NPY"	"neuropeptide Y"	"4"
"PDGFRA"	"platelet derived growth factor receptor alpha"	"4"
"SOX11"	"SRY-box transcription factor 11"	"4"
"SSTR2"	"somatostatin receptor 2"	"4"
"AR"	"androgen receptor"	"3"
